"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene"
"Sorbs2os",1.58756395159589e-31,0.127187256490633,0.382,0.34,5.04686580212335e-27,"Sorbs2os"
"Caln1",1.63479196991241e-31,0.145048746708947,0.402,0.366,5.19700367235156e-27,"Caln1"
"Rims1",2.44009009325145e-31,0.116338171962069,0.612,0.584,7.75704640644635e-27,"Rims1"
"Frmd4a",3.99636280397621e-31,0.104200860989057,0.682,0.651,1.27044373538404e-26,"Frmd4a"
"Ptprt",7.24459691018762e-31,0.114275332680055,0.246,0.204,2.30305735774864e-26,"Ptprt"
"Slc1a2",9.00333508568858e-31,0.321638565615282,0.324,0.282,2.8621602237404e-26,"Slc1a2"
"Grip1",1.03528204894745e-30,0.134140200170376,0.39,0.345,3.29116163360394e-26,"Grip1"
"Nebl",1.17284454555444e-30,0.104623199759188,0.592,0.549,3.72847281031758e-26,"Nebl"
"Phlpp1",4.8263239185867e-30,-0.207470504904079,0.515,0.545,1.53428837371871e-25,"Phlpp1"
"Nhsl1",5.43326699673093e-30,0.142095500304153,0.079,0.056,1.72723557826076e-25,"Nhsl1"
"Trf",9.9364678874392e-30,-0.175103345153137,0.171,0.207,3.15880314141692e-25,"Trf"
"Bmpr1b",1.02007225283304e-29,0.124924062456819,0.051,0.032,3.24280969175623e-25,"Bmpr1b"
"Arhgap39",1.12039348699471e-29,-0.120819857311914,0.474,0.506,3.56173089515617e-25,"Arhgap39"
"Mapk4",1.16330195580715e-29,0.144909901580535,0.229,0.192,3.69813691751093e-25,"Mapk4"
"Map7",1.56095443894325e-29,-0.169610792322152,0.427,0.461,4.96227416140059e-25,"Map7"
"Bin1",1.56411256319862e-29,-0.155300223218439,0.361,0.398,4.97231383840841e-25,"Bin1"
"Arhgap6",1.56514482374914e-29,0.107027253873884,0.077,0.053,4.97559539469851e-25,"Arhgap6"
"Pdzrn3",3.20299657008279e-29,0.108615441391413,0.105,0.077,1.01823260962932e-24,"Pdzrn3"
"Gm15398",5.99068178343653e-29,0.13433316992569,0.151,0.119,1.90443773895447e-24,"Gm15398"
"Ncam2",7.44603372710314e-29,-0.137960819457685,0.604,0.628,2.36709412184609e-24,"Ncam2"
"Fa2h",1.43109776006601e-28,-0.191702507970681,0.097,0.125,4.54945977924983e-24,"Fa2h"
"Rtn4",2.75831150051659e-28,-0.156432980137011,0.554,0.582,8.76867226014225e-24,"Rtn4"
"Thrb",2.81484402174261e-28,0.10229579408056,0.382,0.339,8.94838914511977e-24,"Thrb"
"Gm17167",4.74071356045791e-28,0.110191898304401,0.337,0.297,1.50707284086957e-23,"Gm17167"
"Cntn2",4.84817046693028e-28,-0.163966784939657,0.073,0.099,1.54123339143714e-23,"Cntn2"
"Vat1l",5.33844771063154e-28,0.143879498784295,0.05,0.032,1.69709252720977e-23,"Vat1l"
"Slco1c1",9.64238052043226e-28,0.105807151828106,0.038,0.022,3.06531276744542e-23,"Slco1c1"
"Maml2",9.74293736541864e-28,0.132282694104689,0.421,0.383,3.09727978846658e-23,"Maml2"
"Sik3",1.57955394290673e-27,-0.155232063937298,0.566,0.586,5.02140198450048e-23,"Sik3"
"Klhl2",2.2710424508435e-27,-0.134190864258629,0.48,0.513,7.2196439512315e-23,"Klhl2"
"Tspan2",2.75906183355095e-27,-0.201570046684268,0.096,0.123,8.77105756885847e-23,"Tspan2"
"Rims2",3.12663614486051e-27,0.110572503534953,0.517,0.477,9.93957630451157e-23,"Rims2"
"Slc7a11",4.40670666802191e-27,0.161267083752549,0.045,0.028,1.40089204976416e-22,"Slc7a11"
"Cntn5",4.94567149246357e-27,0.169636866672621,0.41,0.371,1.57222896745417e-22,"Cntn5"
"Cped1",7.2284391366318e-27,0.167302159247977,0.042,0.026,2.29792080153525e-22,"Cped1"
"Tmem178b",8.23260835665501e-27,-0.157083728101381,0.532,0.556,2.61714619658063e-22,"Tmem178b"
"Cldn11",9.16767860985102e-27,-0.179205395336627,0.109,0.138,2.91440503007164e-22,"Cldn11"
"A330049N07Rik",1.09337198788297e-26,-0.16325227376961,0.059,0.081,3.47582954947997e-22,"A330049N07Rik"
"Eya1",1.26437915132274e-26,0.104197713923785,0.082,0.059,4.01946132205501e-22,"Eya1"
"Cdh12",2.57267401679371e-26,0.135348163949212,0.386,0.352,8.17853069938719e-22,"Cdh12"
"Col23a1",2.94461258789285e-26,0.100937906136524,0.082,0.059,9.36092341691136e-22,"Col23a1"
"Mapt",3.00895802679282e-26,-0.151753518901633,0.658,0.684,9.56547756717439e-22,"Mapt"
"Tnr",3.02104511109936e-26,0.123012363529262,0.514,0.48,9.60390240818488e-22,"Tnr"
"Fnbp1",3.10323992458299e-26,-0.193260057875477,0.455,0.484,9.86519972024933e-22,"Fnbp1"
"Magi2",3.48193598736807e-26,-0.116941487109486,0.865,0.873,1.10690745038431e-21,"Magi2"
"Ppp1r16b",3.74668243332769e-26,-0.184725716994055,0.292,0.326,1.19107034555487e-21,"Ppp1r16b"
"Shtn1",4.07441046575952e-26,-0.208294543575717,0.346,0.376,1.29525508706495e-21,"Shtn1"
"Phldb1",6.09231776449609e-26,-0.189144207650594,0.1,0.127,1.93674781733331e-21,"Phldb1"
"Pdzrn4",9.44582853599542e-26,0.123440134232122,0.219,0.185,3.00282889159294e-21,"Pdzrn4"
"Gm35188",1.48710795365823e-25,0.104051254983892,0.449,0.404,4.72751618467953e-21,"Gm35188"
"Neat1",2.29177600219406e-25,-0.206832006380806,0.183,0.215,7.28555591097493e-21,"Neat1"
"App",3.22902882023504e-25,-0.112324469340697,0.659,0.68,1.02650826195272e-20,"App"
"Sept4",3.43372023530752e-25,-0.196895221719137,0.141,0.17,1.09157966280426e-20,"Sept4"
"Frmd4b",4.16366392290752e-25,-0.141283852040682,0.43,0.46,1.3236287610923e-20,"Frmd4b"
"Prickle2",5.20946275105114e-25,-0.117459713008861,0.621,0.644,1.65608820855916e-20,"Prickle2"
"Rab31",9.55874308167511e-25,-0.212731938166456,0.201,0.23,3.03872442566452e-20,"Rab31"
"Sdk1",1.47346857521474e-24,0.132843889357007,0.201,0.169,4.68415660060767e-20,"Sdk1"
"Ugt8a",1.9998812146499e-24,-0.156984462102271,0.105,0.132,6.35762238137203e-20,"Ugt8a"
"Srgap1",2.06738142345974e-24,-0.16368737996501,0.149,0.179,6.57220554517851e-20,"Srgap1"
"Slc1a3",2.31553705739727e-24,0.205041833168005,0.165,0.135,7.36109230546592e-20,"Slc1a3"
"9530026P05Rik",2.60406946898905e-24,0.161545217121985,0.133,0.106,8.27833684191618e-20,"9530026P05Rik"
"Gm12296",2.63711437678181e-24,0.139256267147924,0.323,0.291,8.38338660378939e-20,"Gm12296"
"Klf13",5.0656929870979e-24,-0.156835379335084,0.268,0.3,1.61038380059842e-19,"Klf13"
"Tenm1",8.82355695878308e-24,0.110304522901261,0.422,0.387,2.80500875719714e-19,"Tenm1"
"Msi2",1.03595675656248e-23,0.166561876753893,0.38,0.342,3.29330652911214e-19,"Msi2"
"Tubb4a",1.0408091920764e-23,-0.178279002166766,0.305,0.337,3.30873242161088e-19,"Tubb4a"
"Npas2",1.19112716603163e-23,0.117052703043099,0.197,0.166,3.78659326081454e-19,"Npas2"
"Pcdh7",1.47279454638477e-23,0.127820729526292,0.365,0.329,4.68201386295717e-19,"Pcdh7"
"Slc15a2",2.92822705439243e-23,0.110251263244661,0.082,0.061,9.30883380591355e-19,"Slc15a2"
"Ttyh2",3.92764946244409e-23,-0.164997226781791,0.076,0.099,1.24859976411098e-18,"Ttyh2"
"Opalin",7.5531834251046e-23,-0.143458598126197,0.056,0.076,2.40115701084075e-18,"Opalin"
"Gatm",7.6338010095555e-23,-0.167022996300406,0.136,0.164,2.42678534093769e-18,"Gatm"
"A230006K03Rik",7.86590820867675e-23,0.112511574596621,0.333,0.299,2.50057221953834e-18,"A230006K03Rik"
"Cpq",8.13055237120846e-23,0.106487601439189,0.089,0.067,2.58470259880717e-18,"Cpq"
