"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene"
"B4galt1",3.68844523741943e-20,0.100730591471072,0.091,0.069,1.17255674097564e-15,"B4galt1"
"Sema6a",5.49518135301699e-20,-0.158000942603603,0.115,0.14,1.7469181521241e-15,"Sema6a"
"Arhgef10",6.23925354772633e-20,-0.141485714279138,0.096,0.12,1.9834587028222e-15,"Arhgef10"
"Arhgap25",7.90578971909155e-20,0.120052102894186,0.03,0.018,2.5132505516992e-15,"Arhgap25"
"Cck",7.9880193107507e-20,-0.117383836002125,0.34,0.371,2.53939133888765e-15,"Cck"
"Cx3cr1",8.3854390445029e-20,0.14797754751169,0.095,0.074,2.66573107224747e-15,"Cx3cr1"
"Marcks",9.59119959268779e-20,0.108542192658814,0.103,0.08,3.04904235051545e-15,"Marcks"
"Pnpla7",9.7806724501333e-20,0.157980703043417,0.11,0.087,3.10927577189738e-15,"Pnpla7"
"Gm19500",1.14872974855663e-19,-0.10883650696116,0.048,0.067,3.65181187066153e-15,"Gm19500"
"Hpgd",1.40604211468542e-19,0.105799420301751,0.031,0.019,4.46980788258495e-15,"Hpgd"
"2610035D17Rik",1.77232739223441e-19,-0.126371018933065,0.315,0.344,5.63422877991318e-15,"2610035D17Rik"
"Bfsp2",1.79535622715929e-19,-0.121073154992755,0.028,0.042,5.70743744613938e-15,"Bfsp2"
"Lyst",1.9064048755615e-19,0.1153211755986,0.367,0.334,6.06046109941002e-15,"Lyst"
"Selplg",1.97351567163341e-19,0.11917888545182,0.053,0.036,6.27380632012261e-15,"Selplg"
"Sdk1",2.44018424138795e-19,0.134287615648587,0.201,0.172,7.75734570337229e-15,"Sdk1"
"Mef2a",2.57852384425483e-19,0.136802431357243,0.396,0.361,8.19712730088611e-15,"Mef2a"
"Asph",2.86934301525689e-19,0.160553748653058,0.257,0.226,9.12164144550165e-15,"Asph"
"Pde3b",3.33983628160381e-19,0.206797091438935,0.207,0.178,1.06173395392185e-14,"Pde3b"
"Phldb1",4.91857414459674e-19,-0.16261430943671,0.1,0.123,1.5636147205673e-14,"Phldb1"
"Mafb",5.08415885747944e-19,0.130118657858939,0.042,0.028,1.61625410079271e-14,"Mafb"
